1696237915141:g0x;g0y;g0z;a0y;a0p;a0r:g1x;g1y;g1z;a1y;a1p;a1r:g2x;g2y;g2z;a2y;a2p;a2r:g3x;g3y;g3z;a3y;a3p;a3r:g4x;g4y;g4z;a4y;a4p;a4r:g5x;g5y;g5z;a5y;a5p;a5r
3332:3051.00;3535.00;-2528.00;0.28;0.59;-0.56:-386.00;2409.00;-1771.00;0.01;0.01;0.52:-1030.00;2818.00;-2010.00;-0.00;-0.18;0.37:-1842.00;3326.00;-2776.00;0.03;-0.13;0.35:-3288.00;3263.00;-3122.00;0.00;-0.11;0.19:853.00;2176.00;-976.00;-0.03;0.02;-0.00:
3432:1741.00;3457.00;-2592.00;0.31;0.62;-0.49:-885.00;1383.00;-2431.00;0.01;-0.02;0.58:-1098.00;1842.00;-2364.00;-0.00;-0.20;0.44:-1638.00;2388.00;-2701.00;0.01;-0.14;0.43:-2484.00;2672.00;-2802.00;-0.01;-0.14;0.25:-38.00;2481.00;-702.00;-0.04;0.00;-0.01:
3492:2826.00;2871.00;-2490.00;0.33;0.66;-0.44:-232.00;2001.00;-1145.00;0.02;-0.03;0.63:-471.00;2401.00;-1164.00;0.00;-0.20;0.49:-1076.00;2875.00;-1835.00;0.01;-0.15;0.49:-2293.00;2853.00;-2028.00;-0.01;-0.15;0.29:-173.00;2634.00;-174.00;-0.05;-0.00;-0.01:
3542:2474.00;2621.00;-2061.00;0.32;0.66;-0.39:-565.00;1755.00;-1103.00;0.02;-0.06;0.66:-903.00;2074.00;-1313.00;0.01;-0.22;0.52:-1527.00;2485.00;-2093.00;0.03;-0.18;0.51:-2709.00;2658.00;-2345.00;-0.00;-0.18;0.31:709.00;2454.00;-348.00;-0.06;0.01;-0.01:
3602:1656.00;2813.00;-2134.00;0.31;0.67;-0.34:-1032.00;1416.00;-1892.00;0.03;-0.08;0.70:-1291.00;1826.00;-1919.00;0.01;-0.24;0.55:-1759.00;2298.00;-2344.00;0.03;-0.19;0.55:-2641.00;2585.00;-2384.00;-0.00;-0.20;0.34:470.00;2172.00;-332.00;-0.08;0.00;-0.00:
3652:2115.00;2614.00;-2262.00;0.29;0.68;-0.31:-616.00;1729.00;-1234.00;0.03;-0.09;0.72:-702.00;1985.00;-1383.00;0.01;-0.24;0.57:-1163.00;2188.00;-2078.00;0.02;-0.20;0.57:-1964.00;2198.00;-2357.00;0.00;-0.20;0.36:-98.00;2238.00;-402.00;-0.08;0.00;0.01:
3712:1620.00;2451.00;-2168.00;0.26;0.67;-0.25:-491.00;1112.00;-1492.00;0.03;-0.10;0.72:-816.00;1307.00;-1619.00;0.02;-0.26;0.58:-1385.00;1568.00;-2174.00;0.03;-0.22;0.58:-2198.00;1777.00;-2359.00;0.01;-0.23;0.37:456.00;2330.00;-487.00;-0.09;0.02;0.02:
3762:1444.00;2315.00;-1976.00;0.26;0.67;-0.22:-966.00;1243.00;-1549.00;0.04;-0.11;0.73:-1191.00;1719.00;-1417.00;0.02;-0.27;0.59:-1701.00;2147.00;-1893.00;0.04;-0.23;0.59:-2523.00;2260.00;-2027.00;0.02;-0.25;0.38:629.00;2027.00;-325.00;-0.09;0.02;0.03:
3822:1524.00;2427.00;-1916.00;0.25;0.68;-0.20:-968.00;1118.00;-1729.00;0.05;-0.12;0.73:-1053.00;1412.00;-1672.00;0.03;-0.27;0.59:-1370.00;1750.00;-2082.00;0.06;-0.23;0.60:-1994.00;2037.00;-2145.00;0.03;-0.25;0.39:236.00;1895.00;-362.00;-0.07;0.02;0.05:
3872:1636.00;2122.00;-2052.00;0.24;0.68;-0.19:-484.00;1417.00;-1222.00;0.05;-0.11;0.73:-744.00;1691.00;-1293.00;0.04;-0.26;0.59:-1165.00;1868.00;-1849.00;0.06;-0.23;0.60:-1917.00;1843.00;-2176.00;0.04;-0.25;0.39:132.00;1905.00;-427.00;-0.06;0.03;0.07:
3932:1401.00;1697.00;-2177.00;0.24;0.68;-0.19:-241.00;703.00;-1420.00;0.06;-0.10;0.73:-349.00;1201.00;-1342.00;0.04;-0.25;0.60:-746.00;1581.00;-1870.00;0.07;-0.23;0.61:-1605.00;1890.00;-2059.00;0.05;-0.26;0.40:212.00;1846.00;-479.00;-0.05;0.03;0.08:
3982:1439.00;1867.00;-1859.00;0.22;0.68;-0.18:-370.00;1057.00;-1216.00;0.05;-0.10;0.73:-596.00;1343.00;-1232.00;0.04;-0.25;0.60:-1112.00;1492.00;-1727.00;0.07;-0.23;0.62:-1777.00;1497.00;-1961.00;0.05;-0.27;0.41:81.00;1822.00;-494.00;-0.04;0.03;0.09:
4042:985.00;1781.00;-1916.00;0.22;0.69;-0.16:-325.00;654.00;-1308.00;0.06;-0.10;0.74:-400.00;1018.00;-1249.00;0.04;-0.26;0.61:-823.00;1330.00;-1690.00;0.08;-0.24;0.64:-1546.00;1453.00;-1946.00;0.06;-0.28;0.43:108.00;1722.00;-460.00;-0.04;0.04;0.09:
4092:1269.00;1772.00;-1691.00;0.24;0.70;-0.13:-638.00;984.00;-1160.00;0.06;-0.11;0.76:-816.00;1231.00;-1138.00;0.05;-0.26;0.63:-1128.00;1385.00;-1616.00;0.09;-0.24;0.65:-1699.00;1442.00;-1813.00;0.07;-0.29;0.45:169.00;1651.00;-418.00;-0.03;0.04;0.10:
4142:1114.00;1561.00;-1742.00;0.25;0.71;-0.11:-362.00;865.00;-1091.00;0.07;-0.11;0.77:-514.00;1289.00;-996.00;0.06;-0.27;0.64:-847.00;1625.00;-1423.00;0.10;-0.25;0.66:-1478.00;1642.00;-1645.00;0.08;-0.30;0.47:72.00;1548.00;-312.00;-0.03;0.04;0.10:
4192:1088.00;1494.00;-1732.00;0.26;0.73;-0.10:-289.00;994.00;-889.00;0.07;-0.12;0.78:-423.00;1201.00;-984.00;0.06;-0.27;0.65:-760.00;1322.00;-1514.00;0.10;-0.25;0.67:-1363.00;1373.00;-1748.00;0.08;-0.31;0.48:57.00;1489.00;-399.00;-0.03;0.05;0.11:
4242:941.00;1488.00;-1717.00;0.27;0.74;-0.08:-354.00;810.00;-1114.00;0.07;-0.13;0.78:-567.00;1128.00;-1021.00;0.06;-0.28;0.65:-915.00;1277.00;-1435.00;0.11;-0.26;0.68:-1423.00;1291.00;-1652.00;0.09;-0.32;0.49:112.00;1501.00;-426.00;-0.04;0.05;0.11:
4282:-145.00;1442.00;-1888.00;0.29;0.76;-0.06:-507.00;675.00;-1095.00;0.08;-0.14;0.79:-553.00;995.00;-952.00;0.07;-0.29;0.65:-718.00;1257.00;-1298.00;0.11;-0.27;0.68:-1054.00;1379.00;-1588.00;0.09;-0.33;0.49:125.00;1648.00;-497.00;-0.04;0.06;0.11:
